checked_at,language,search_engine,region_or_unknown,query,intent,observed_result_urls,existing_site_url,content_gap,recommended_action,evidence_limit
2026-09-23,en,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=us-en; not a Google locale",What does it mean if I draw a bad Guanyin fortune stick,interpret-results,https://todayflow.ai/en/blog/what-to-do-bad-guanyin-sign|https://dougleschan.com/guan-yin-lot/guan-yin-lot/|https://www.wonyanconsult.com/post/why-a-bad-guanyin-divination-lot-might-be-the-best-gift,/learn/guanyin-fortune-sticks,"Opened pages treat a difficult Guanyin result as a pause or a lower-lot category, not a verdict. /learn/guanyin-fortune-sticks and /journal/how-to-ask-fortune-sticks say to read the source note and not redraw just because the line feels bad. They do not answer what this site's own grade words (Blocked / 小阻) change about the next check.","Add the queued journal answer for an unfavorable grade (candidate /journal/unfavorable-fortune-stick-reading), with one labeled example and a link to /sticks. Research only; do not implement in this change. Do not copy temple poems.","No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=us-en. Wonyan returned HTTP 200 as a client-rendered page; its article text was visible in the fetched page content."
2026-09-23,en,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=us-en; not a Google locale",How do I read the poem and explanation on a Guanyin fortune stick,interpret-results,https://todayflow.ai/en/blog/how-to-read-guanyin-oracle|https://www.cantian.ai/en/oracle|https://www.destinypixel.com/learn/guanyin-fortune-sticks,/sticks,"The sample is a general reading guide, a poem index, and this site's learn page. /sticks already labels Sign text, Plain reading, source note, and optional AI. /journal/fortune-stick-number-and-edition already separates verse, translation, adaptation, and interpretation. A new page would repeat that job.",Ignore a new URL. Keep readers on /sticks and /journal/fortune-stick-number-and-edition.,"No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=us-en. A fourth sample URL, handfulofleaves.life, timed out and is not listed."
2026-09-23,en,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=us-en; not a Google locale",What should I prepare before drawing Chinese fortune sticks,concept,https://fengshuizen.co/blog/how-to-use-chinese-fortune-sticks|https://www.kaucim.ai/en/articles/chinese-fortune-sticks-online|https://www.kaucim.ai/en/articles/kau-cim-online-guide,/sticks,"Opened pages are about respectful or safe drawing before the result. /sticks only says to focus on one question. /journal/how-to-ask-fortune-sticks rewrites the question, which is a different job. The page never says this online draw does not need incense, a birth date, or a temple cup.","Improve /sticks with a short before-draw note: one question, no birth details, no incense required here, and a link to /journal/how-to-ask-fortune-sticks. Research only. Do not add a second how-to-ask article.","No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=us-en. lingcim.com appeared in the same list and returned 404, so it is not listed."
2026-09-23,en,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=us-en; not a Google locale",How can I use my BaZi day pillar to understand my everyday habits,concept,https://wiki.openfate.ai/en/insights/how-to-read-day-pillar-in-bazi|https://bazi-master.com/blogs/bazi/bazi-day-pillar-represents|https://askstar.ai/en/wiki/bazi/day-pillar,/journal/what-is-a-day-pillar,"OpenFate warns that reading only the day pillar distorts the chart; the other two present the day pillar as core self. /journal/what-is-a-day-pillar and /discover already define the pair, separate it from the year animal, and give one one-week habit check. That is the covered Day Pillar / Day Master job.",Ignore. Do not add another Day Pillar or Day Master page.,"No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=us-en."
2026-09-23,zh-Hans,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=cn-zh requested; not a mainland China network",抽到观音灵签下签是什么意思,interpret-results,https://www.163.com/dy/article/KB6HCFSS0553UEFB.html|https://zhuanlan.zhihu.com/p/2053410175508289273|https://gylq.ijinshan.com/pages/qian/index.html,/sticks?locale=zh,"Opened pages are a 100-lot list that names 下下签, a Zhihu reading guide, and a page titled 上签中签下签. /sticks?locale=zh shows a level word and a plain reading, but no public answer for what a lower grade means on this site. Baidu wenku and Baidu Baike links in the same list returned 403 from this IP and are not counted.","Use the same unfavorable-grade journal candidate as the English question, in simplified Chinese, linking to /sticks?locale=zh. Research only. Do not open a separate simplified-only URL.","No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=cn-zh. Baidu results in this list were not openable from this IP."
2026-09-23,zh-Hans,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=cn-zh requested; not a mainland China network",求签之前需要做哪些准备,concept,https://www.ttlingqian.com/art_lingqian/333.html|https://gaodaoyiduan.com/zhouyi/qiuqian-wengua/temple-qiuqian-process-jiegian|https://gylq.ijinshan.com/pages/jieqian/jiqian-yishi/index.html,/sticks?locale=zh,"天天灵签 tells the reader to clean the stick cup, prepare the verses, and light incense before drawing; the other two are temple-step pages. /sticks?locale=zh does not say which of those steps this online draw skips. Copying the incense checklist would describe a temple visit, not the current tool.","Improve /sticks?locale=zh with the same before-draw note as the English page: one question, no birth details, no incense required here. Research only. Do not write another 求签怎么问问题 article.","No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=cn-zh."
2026-09-23,zh-Hans,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=cn-zh requested; not a mainland China network",只看日柱会不会把自己的性格看偏,concept,https://wiki.openfate.ai/zh-hans/insights/how-to-read-day-pillar-in-bazi|https://8zi.me/blog/posts/rizhu-guide|https://www.ai-tianji.com/bazi/ri-zhu,/journal/what-is-a-day-pillar?locale=zh,OpenFate's title is this exact worry. The other two are day-pillar personality or spouse lookups. /journal/what-is-a-day-pillar?locale=zh already says the day pillar is not the year animal and not the whole chart. Zhihu links in the same list returned 403 and are not counted.,Ignore. Do not add another 日柱 or 日主 page.,"No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=cn-zh. Zhihu URLs in this list returned 403 from this IP."
2026-09-23,zh-Hant,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=tw-tzh requested; not a Taiwan network",觀音靈籤抽到中平籤要怎麼解讀,interpret-results,https://www.genshuxue.com/post/58.html|https://shunshi.ai/zh-tw/blog/guanyin-lingqian-accuracy-guide|https://folkwisdom.idv.tw/guanyin-qian-012/,/sticks?locale=zh-TW,"The list does not stay on 中平: one page is about a lower lot and a ritual, one is an accuracy guide, and one explains a single lot marked 中籤. /sticks?locale=zh-TW can show 中平 on the result seal without saying whether that grade means wait, proceed, or redraw.","Add a short FAQ on /sticks, in Traditional Chinese and the other three languages, for what 中平 / Steady means: read the verse against the question, do not treat it as yes or no, do not redraw for a higher grade. Research only. Do not create a new keyword URL.","No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=tw-tzh. The first opened result drifted from 中平 to a lower-lot ritual page; that mismatch is part of the sample."
2026-09-23,zh-Hant,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=tw-tzh requested; not a Taiwan network",求籤前要先齋戒或沐浴嗎,concept,https://baibaigo.com.tw/guides/lottery|https://maygoddejia.com.tw/videos/divination-lot-confirmation-process/|https://taiwantemple.org/%E6%B1%82%E7%B1%A4%E6%AD%A5%E9%A9%9F%E6%95%99%E5%AD%B8%EF%BC%9A%E7%AC%AC%E5%B9%BE%E6%94%AF%E7%B1%A4%E6%89%8D%E7%AE%97%E6%95%B8%EF%BC%9F%E5%AE%8C%E6%95%B48%E6%AD%A5%E9%A9%9Fsop%E8%88%87%E8%A7%A3/,/sticks?locale=zh-TW,"Opened pages are temple sequences (report the question, jiao blocks, an eight-step SOP). They do not give a direct yes or no on fasting or bathing. /sticks?locale=zh-TW also does not say that this online draw does not require fasting or bathing. An uptogo.com.tw link in the same list returned 403 and is not counted.","Fold one sentence into the /sticks before-draw note: this online draw does not require fasting or bathing. Research only. Do not publish a temple-ritual guide, and do not repeat the how-to-ask article.","No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=tw-tzh. uptogo.com.tw returned 403 from this IP."
2026-09-23,zh-Hant,duckduckgo.com,"US IP (Ohio, AWS); DuckDuckGo kl=tw-tzh requested; not a Taiwan network",只看日柱會不會把個性看偏,concept,https://wiki.openfate.ai/zh-hant/insights/how-to-read-day-pillar-in-bazi|https://8words.app/blog/jiazi-day-pillar-overview/|https://www.yixiangqiankun.com/zh-tw/151076.htm,/journal/what-is-a-day-pillar?locale=zh-TW,OpenFate repeats the single-pillar worry in Traditional Chinese. The other two are broader day-pillar character pages. /journal/what-is-a-day-pillar?locale=zh-TW already introduces the pair. A new page would repeat Day Pillar / Day Master.,Ignore. Do not add another 日柱 or 日主 page.,"No GSC access: no impressions, clicks, or query rows, and no search volume, KD, or competitor traffic. google.com returned a reCAPTCHA from this US Ohio AWS IP (checked 2026-09-23), so this is not a Google ranking. Sample is one DuckDuckGo HTML result list from that US IP; personalization and the visitor's real country are unknown. DuckDuckGo region setting requested: kl=tw-tzh. A Zhihu URL in this list returned 403 and is not counted. dongyiqi.com opened as a thin navigation shell and is not counted."
